frame,doa
1553,[268.]
1554,[151.]
1555,[150.]
1556,[149.]
1557,[150.]
1558,[266.]
1559,[148.]
1560,[146.]
1561,[145.]
1562,[269.]
1563,[164.]
1564,[156.]
1565,[159.]
1566,[160.]
1567,[164.]
1568,[155.]
1569,[155.]
1570,[154.]
1571,[232.]
1572,[147.]
1573,[149.]
1574,[155.]
1575,[153.]
1576,[108.]
1577,[154.]
1578,[157.]
1579,[162.]
1580,[160.]
1581,[161.]
1582,[160.]
1583,[259.]
1584,[162.]
1585,[150.]
1586,[150.]
1587,[141.]
1588,[144.]
1589,[138.]
1590,[133.]
1591,[149.]
1592,[152.]
1593,[188.]
1594,[214.]
1595,[152.]
1596,[161.]
1597,[153.]
1598,[162.]
1599,[244.]
1600,[230.]
1601,[224.]
1602,[153.]
1603,[156.]
1604,[234.]
1605,[150.]
1606,[267.]
1607,[271.]
1608,[148.]
1609,[148.]
1610,[147.]
1611,[142.]
1612,[147.]
1613,[147.]
1614,[149.]
1615,[138.]
1616,[159.]
1617,[26.]
1618,[143.]
1619,[146.]
1620,[148.]
1621,[146.]
1622,[158.]
1623,[165.]
1624,[169.]
1625,[166.]
1626,[162.]
1627,[155.]
1628,[125.]
1629,[153.]
1630,[155.]
1631,[154.]
1632,[152.]
1633,[221.]
1634,[156.]
1635,[64.]
1636,[43.]
1637,[160.]
1638,[267.]
1639,[36.]
1640,[53.]
1641,[263.]
1642,[270.]
1643,[149.]
1644,[148.]
1645,[138.]
1646,[146.]
1647,[148.]
1648,[161.]
1649,[155.]
1650,[196.]
1651,[153.]
1652,[153.]
1653,[163.]
1654,[152.]
1655,[171.]
1656,[153.]
1657,[155.]
1658,[152.]
1659,[153.]
1660,[153.]
1661,[153.]
1662,[155.]
1663,[144.]
1664,[175.]
1665,[144.]
1666,[263.]
1667,[156.]
1668,[154.]
1669,[147.]
1670,[233.]
1671,[143.]
1672,[140.]
1673,[147.]
1674,[145.]
1675,[145.]
1676,[152.]
1677,[151.]
1678,[149.]
1679,[151.]
1680,[150.]
1681,[255.]
1682,[270.]
1683,[250.]
1684,[103.]
1685,[150.]
1686,[148.]
1687,[259.]
1688,[66.]
1689,[262.]
1690,[148.]
1691,[161.]
1692,[83.]
1693,[66.]
1694,[66.]
1695,[157.]
1696,[165.]
1697,[164.]
1698,[40.]
1699,[268.]
1700,[161.]
1701,[163.]
1702,[165.]
1703,[256.]
1704,[150.]
1705,[164.]
1706,[163.]
1707,[30.]
1708,[26.]
1709,[32.]
1710,[163.]
1711,[155.]
1712,[152.]
1713,[152.]
1714,[155.]
1715,[163.]
1716,[43.]
1717,[156.]
1718,[156.]
1719,[154.]
1720,[152.]
1721,[154.]
1722,[268.]
1723,[268.]
1724,[169.]
1725,[196.]
1726,[207.]
1727,[219.]
1728,[204.]
1729,[216.]
1730,[206.]
1731,[202.]
1732,[205.]
1733,[206.]
1734,[210.]
1735,[203.]
1736,[204.]
1737,[208.]
1738,[204.]
1739,[258.]
1740,[196.]
1741,[204.]
1742,[176.]
1743,[269.]
1744,[209.]
1745,[201.]
1746,[204.]
1747,[207.]
1748,[207.]
