frame,Nose_x,Nose_y,Nose_c,Neck_x,Neck_y,Neck_c,RShoulder_x,RShoulder_y,RShoulder_c,RElbow_x,RElbow_y,RElbow_c,RWrist_x,RWrist_y,RWrist_c,LShoulder_x,LShoulder_y,LShoulder_c,LElbow_x,LElbow_y,LElbow_c,LWrist_x,LWrist_y,LWrist_c,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,RAnkle_x,RAnkle_y,RAnkle_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,REye_x,REye_y,REye_c,LEye_x,LEye_y,LEye_c,REar_x,REar_y,REar_c,LEar_x,LEar_y,LEar_c,LBigToe_x,LBigToe_y,LBigToe_c,LSmallToe_x,LSmallToe_y,LSmallToe_c,LHeel_x,LHeel_y,LHeel_c,RBigToe_x,RBigToe_y,RBigToe_c,RSmallToe_x,RSmallToe_y,RSmallToe_c,RHeel_x,RHeel_y,RHeel_c
8,615.647,230.061,0.817797,663.143,321.632,0.400615,593.043,312.587,0.289759,562.481,403.038,0.303957,583.942,276.402,0.766972,740.043,326.159,0.3702,809.009,413.251,0.108646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.154,211.964,0.81583,637.17,204.012,0.908977,0,0,0,674.429,221.014,0.711298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1382.35,240.193,0.846345,1374.41,327.298,0.604295,1326.9,326.173,0.592591,1323.54,401.942,0.12328,0,0,0,1427.55,328.404,0.390307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,231.132,0.944869,1396.96,231.153,0.917125,1351.76,249.31,0.649867,1408.36,249.289,0.485987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1651.52,237.938,0.844744,1651.5,284.361,0.712706,1599.46,286.591,0.638485,1589.29,358.962,0.27506,0,0,0,1705.76,284.344,0.457527,1738.53,256.074,0.570177,1687.66,232.304,0.229532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641.29,225.517,0.861971,1667.28,227.79,0.82581,1624.31,236.837,0.657639,1683.1,239.117,0.598348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1098.49,250.425,0.827036,1135.79,318.226,0.661998,1078.12,321.66,0.515261,1017.09,395.151,0.34651,971.856,389.489,0.0578907,1195.75,311.443,0.562529,1199.12,392.896,0.208972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088.3,239.119,0.874226,1114.32,234.556,0.792843,1079.27,248.092,0.0526919,1148.25,239.106,0.829922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,613.389,231.134,0.815748,663.124,320.53,0.416826,589.648,312.612,0.25965,560.256,403.074,0.26589,582.832,276.391,0.733187,740.031,325.044,0.380365,809.042,413.248,0.114852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.168,213.048,0.814863,637.146,203.998,0.911091,0,0,0,674.43,222.101,0.71372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1382.34,240.197,0.87271,1378.88,328.43,0.701526,1325.76,327.306,0.615078,1324.61,403.087,0.116984,0,0,0,1433.22,329.519,0.591023,1471.65,392.875,0.0714748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,231.158,0.953349,1395.92,231.204,0.898994,1350.68,249.276,0.668042,1408.36,250.401,0.505222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1652.57,237.928,0.840453,1651.45,285.485,0.698927,1599.43,286.61,0.640188,1588.17,357.839,0.293943,0,0,0,1704.61,286.585,0.428843,1739.66,257.147,0.498808,1694.42,235.696,0.16981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641.3,224.426,0.86917,1667.29,227.803,0.829513,1624.31,235.724,0.657891,1683.1,240.217,0.591758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1098.51,249.298,0.856563,1135.8,314.869,0.668741,1079.29,320.483,0.540296,1021.6,387.23,0.304277,0,0,0,1195.73,311.428,0.537286,1199.13,391.763,0.215816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088.33,239.064,0.864655,1115.44,233.436,0.810857,1079.29,246.975,0.063393,1148.26,240.209,0.835207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,613.381,231.14,0.817002,660.873,321.627,0.406258,588.518,312.594,0.244996,558.002,401.933,0.273552,582.857,276.412,0.749366,740.041,326.158,0.376296,810.13,413.248,0.106504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.163,213.071,0.812297,637.131,204.019,0.904545,0,0,0,674.43,222.137,0.721738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1383.44,240.221,0.863311,1377.8,328.392,0.686812,1325.77,327.312,0.627816,1322.41,403.096,0.127762,0,0,0,1433.17,327.291,0.573723,1470.54,392.871,0.0874098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370.99,231.166,0.946012,1396.97,231.217,0.896379,1350.65,249.254,0.674109,1408.34,251.546,0.51056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
